This Year's Rank,Last Year's Rank,Company,Leadership,Country,2022 Defense Revenue (in millions),2021 Defense Revenue (in millions),Defense Revenue Change,2022 Total Revenue (in millions),Revenue From Defense
1,1,Lockheed Martin,"James D. Taiclet, Chairman, President and CEO",U.S.,"$63,334.00 ","$64,458.00 ",-2%,"$65,984.00 ",96%
2,2,RTX,"Gregory J. Hayes, Chairman and CEO",U.S.,"$39,600.00 ","$41,852.20 ",-5%,"$67,100.00 ",59%
3,4,Northrop Grumman,"Kathy J. Warden, Chair, CEO and President",U.S.,"$32,435.00 ","$31,429.00 ",3%,"$36,602.00 ",89%
4,6,Aviation Industry Corporation of China,"Hao Zhaoping, Director and General Manager *",China,"$30,971.31 ","$30,155.22 ",3%,"$82,600.10 ",37%
5,3,Boeing,"David Calhoun, President and CEO",U.S.,"$30,843.00 ","$35,093.00 ",-12%,"$66,608.00 ",46%
6,5,General Dynamics,"Phebe Novakovic, Chairman and CEO",U.S.,"$30,400.00 ","$30,800.00 ",-1%,"$39,400.00 ",77%
7,7,BAE Systems,"Charles Woodburn, Group CEO",U.K.,"$25,238.85 ","$25,775.20 ",-2%,"$26,290.47 ",96%
8,9,China North Industries Group Corporation Limited,"Liu Shiquan, Chairman, and Liu Dashan, President",China,"$17,963.66 ","$17,711.93 ",1%,"$82,778.69 ",22%
9,10,L3Harris Technologies,"Christopher E. Kubasik, Chair and CEO",U.S.,"$13,927.00 ","$14,924.00 ",-7%,"$17,062.00 ",82%
10,13,China South Industries Group Corporation,"Xu Xianping, Chairman of the Group and Secretary of the Party Committee, and Chen Guoying, Director and General Manager",China,"$13,483.91 ","$13,744.95 ",-2%,"$43,472.95 ",31%
11,12,Leonardo,"Roberto Cingolani, CEO and General Manager *",Italy,"$12,866.12 ","$13,878.35 ",-7%,"$15,501.35 ",83%
12,15,Airbus,"Guillaume Faury, CEO",Netherlands/France,"$12,022.44 ","$10,853.55 ",11%,"$61,480.67 ",20%
13,17,HII,"Christopher Kastner, President and CEO",U.S.,"$10,625.00 ","$9,475.00 ",12%,"$10,676.00 ",100%
14,16,Thales,"Patrice Caine, Chairman and CEO",France,"$9,644.49 ","$10,212.39 ",-6%,"$18,510.38 ",52%
15,18,China Aerospace Science and Technology Corporation,"Wu Yansheng, Chairman, and Zhang Zhongyang, Director and General Manager",China,"$9,614.35 ","$9,344.09 ",3%,"$44,929.99 ",21%
16,19,Leidos,"Tom Bell, CEO *",U.S.,"$9,525.00 ","$8,032.00 ",19%,"$14,396.00 ",66%
17,21,Amentum,"John Heller, CEO",U.S.,"$6,000.00 ","$5,900.00 ",2%,"$8,600.00 ",70%
18,22,Booz Allen Hamilton,"Horacio D. Rozanski, President and CEO",U.S.,"$5,904.37 ","$5,528.51 ",7%,"$9,258.91 ",64%
19,29,Rheinmetall AG,"Armin Papperger, CEO",Germany,"$5,060.70 ","$4,788.57 ",6%,"$6,753.36 ",75%
