Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
AM.PA,2003,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$4.20 B,$4.68 B,$0.55 B
AM.PA,2004,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$6.10 B,$4.69 B,$0.63 B
AM.PA,2005,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$6.94 B,$4.07 B,$0.52 B
AM.PA,2006,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$8.95 B,$4.42 B,$0.55 B
AM.PA,2007,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$9.43 B,$5.99 B,$0.82 B
AM.PA,2008,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$5.69 B,$5.23 B,$0.70 B
AM.PA,2009,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$7.61 B,$4.90 B,$0.55 B
AM.PA,2010,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$8.09 B,$5.56 B,$0.58 B
AM.PA,2011,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$7.47 B,$4.28 B,$0.55 B
AM.PA,2012,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$9.96 B,$5.21 B,$0.96 B
AM.PA,2013,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$12.97 B,$6.34 B,$0.91 B
AM.PA,2014,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$11.85 B,$4.47 B,$0.44 B
AM.PA,2015,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$10.92 B,$4.57 B,$0.087 B
AM.PA,2016,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$9.21 B,$3.85 B,$0.47 B
AM.PA,2017,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$12.82 B,$5.88 B,$1.05 B
AM.PA,2018,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$11.50 B,$5.85 B,$0.87 B
AM.PA,2019,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$10.89 B,$8.25 B,$1.07 B
AM.PA,2020,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$9.17 B,$6.75 B,$0.46 B
AM.PA,2021,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$8.94 B,$8.20 B,$0.84 B
AM.PA,2022,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$15.76 B,$7.44 B,$0.92 B
AM.PA,2023,Dassault Aviation,France,Aircraft manufacturers|Defense contractors|Manufacturing,$14.04 B,$5.31 B,$0.91 B
BA,2001,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$30.94 B,$58.19 B,$3.56 B
BA,2002,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$26.37 B,$54.06 B,$3.18 B
BA,2003,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$33.72 B,$50.48 B,$0.52 B
BA,2004,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$43.08 B,$52.51 B,$1.96 B
BA,2005,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$56.20 B,$54.84 B,$2.81 B
BA,2006,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$70.07 B,$61.53 B,$3.19 B
BA,2007,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$67.17 B,$66.38 B,$6.11 B
BA,2008,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$31.00 B,$60.90 B,$3.99 B
BA,2009,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$39.33 B,$68.28 B,$1.73 B
BA,2010,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$47.98 B,$64.30 B,$4.5 B
BA,2011,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$54.51 B,$68.73 B,$5.39 B
BA,2012,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$56.94 B,$81.69 B,$5.91 B
BA,2013,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$102.00 B,$86.62 B,$6.23 B
BA,2014,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$91.86 B,$90.76 B,$7.13 B
BA,2015,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$96.38 B,$96.11 B,$7.15 B
BA,2016,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$96.08 B,$94.57 B,$5.56 B
BA,2017,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$175.64 B,$93.39 B,$10.16 B
BA,2018,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$183.06 B,$101.12 B,$11.6 B
